Company,Job Title,Job URL,Website,Source
Cipriani,Marketing Analyst,https://www.linkedin.com/jobs/view/marketing-analyst-at-cipriani-4426432031,https://cipriani.myshopify.com,LinkedIn
Zebra Pen Corporation,Marketing Analyst,https://www.linkedin.com/jobs/view/marketing-analyst-at-zebra-pen-corporation-4426756112,https://www.zebrapen.com/,LinkedIn
Maxwood Furniture,Digital Marketing Analyst,https://www.linkedin.com/jobs/view/digital-marketing-analyst-at-maxwood-furniture-4428425504,https://maxwoodfurniture.myshopify.com,LinkedIn
